"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"5/6/2023 8 p.m. EDT",442712,443821,438152,-4889
US48,"5/6/2023 9 p.m. EDT",441216,439359,437106,-4600
US48,"5/6/2023 10 p.m. EDT",436293,431242,431104,-4556
US48,"5/6/2023 11 p.m. EDT",422916,416921,416752,-4977
US48,"5/7/2023 12 a.m. EDT",405754,399023,399131,-4193
US48,"5/7/2023 1 a.m. EDT",387458,380785,379740,-3876
US48,"5/7/2023 2 a.m. EDT",371661,366496,364261,-3477
US48,"5/7/2023 3 a.m. EDT",358399,349961,350656,-3302
US48,"5/7/2023 4 a.m. EDT",348744,343273,340975,-3725
US48,"5/7/2023 5 a.m. EDT",343614,340064,335573,-3803
US48,"5/7/2023 6 a.m. EDT",342000,339735,333885,-4048
US48,"5/7/2023 7 a.m. EDT",342837,342168,335001,-3908
US48,"5/7/2023 8 a.m. EDT",346002,349005,337859,-4706
US48,"5/7/2023 9 a.m. EDT",356142,360564,348634,-4163
US48,"5/7/2023 10 a.m. EDT",370231,374745,363291,-3659
US48,"5/7/2023 11 a.m. EDT",383771,389241,377406,-2691
US48,"5/7/2023 12 p.m. EDT",396031,401616,389329,-2269
US48,"5/7/2023 1 p.m. EDT",406829,412556,400770,-2584
US48,"5/7/2023 2 p.m. EDT",418741,422727,412370,-2332
US48,"5/7/2023 3 p.m. EDT",427761,432670,421978,-2310
US48,"5/7/2023 4 p.m. EDT",437031,442837,430626,-2449
US48,"5/7/2023 5 p.m. EDT",445642,453353,439245,-3301
US48,"5/7/2023 6 p.m. EDT",454605,460882,448427,-3360
US48,"5/7/2023 7 p.m. EDT",458814,464362,453238,-3064
US48,"5/7/2023 8 p.m. EDT",458797,462940,453975,-2821
US48,"5/7/2023 9 p.m. EDT",457467,458504,453030,-3302
US48,"5/7/2023 10 p.m. EDT",452387,449164,447424,-3373
US48,"5/7/2023 11 p.m. EDT",436352,431776,430518,-4487
US48,"5/8/2023 12 a.m. EDT",415179,410087,408578,-4811
US48,"5/8/2023 1 a.m. EDT",395407,386523,387408,-5011
US48,"5/8/2023 2 a.m. EDT",376656,367448,368249,-4651
US48,"5/8/2023 3 a.m. EDT",362953,351599,355025,-4352
US48,"5/8/2023 4 a.m. EDT",354986,347872,346906,1580
US48,"5/8/2023 5 a.m. EDT",353195,349555,345580,1520
US48,"5/8/2023 6 a.m. EDT",360498,360317,352680,904
US48,"5/8/2023 7 a.m. EDT",376378,378044,369213,768
US48,"5/8/2023 8 a.m. EDT",395650,395895,388276,970
US48,"5/8/2023 9 a.m. EDT",409390,410658,402465,945
US48,"5/8/2023 10 a.m. EDT",421344,424454,414809,702
US48,"5/8/2023 11 a.m. EDT",434622,438276,428564,-765
US48,"5/8/2023 12 p.m. EDT",446598,450947,440634,-2028
US48,"5/8/2023 1 p.m. EDT",457355,462271,451373,-2465
US48,"5/8/2023 2 p.m. EDT",468776,472648,463211,-3261
US48,"5/8/2023 3 p.m. EDT",479327,481751,473589,-4070
US48,"5/8/2023 4 p.m. EDT",489141,490774,482897,-4535
US48,"5/8/2023 5 p.m. EDT",498630,498328,493193,-4646
US48,"5/8/2023 6 p.m. EDT",507251,503050,501150,-4927
US48,"5/8/2023 7 p.m. EDT",509228,503169,502945,-5658
US48,"5/8/2023 8 p.m. EDT",503655,498059,497443,-5586
US48,"5/8/2023 9 p.m. EDT",496396,488788,490639,-3320
US48,"5/8/2023 10 p.m. EDT",485300,474695,479274,-224
